timestamp,min_rtt_ms,avg_rtt_ms,max_rtt_ms,packet_loss_percent
2026-02-23T07:56:33.466839,,,,100.0
2026-02-23T07:56:33.540715,70.088,70.088,70.088,0.0
2026-02-23T07:56:33.614071,70.073,70.073,70.073,0.0
2026-02-23T07:56:33.687260,70.111,70.111,70.111,0.0
2026-02-23T07:56:33.760487,70.101,70.101,70.101,0.0
2026-02-23T07:56:33.833931,70.112,70.112,70.112,0.0
2026-02-23T07:56:33.907633,70.09,70.09,70.09,0.0
2026-02-23T07:56:33.981151,70.125,70.125,70.125,0.0
2026-02-23T07:56:34.054494,70.083,70.083,70.083,0.0
2026-02-23T07:56:34.127080,70.111,70.111,70.111,0.0
2026-02-23T07:56:34.199848,70.085,70.085,70.085,0.0
2026-02-23T07:56:34.272988,70.106,70.106,70.106,0.0
2026-02-23T07:56:34.346520,70.133,70.133,70.133,0.0
2026-02-23T07:56:34.419686,70.089,70.089,70.089,0.0
2026-02-23T07:56:34.492352,70.081,70.081,70.081,0.0
2026-02-23T07:56:34.565976,70.078,70.078,70.078,0.0
2026-02-23T07:56:34.639154,70.066,70.066,70.066,0.0
2026-02-23T07:56:34.712648,70.11,70.11,70.11,0.0
2026-02-23T07:56:34.785958,70.08,70.08,70.08,0.0
2026-02-23T07:56:34.859691,70.086,70.086,70.086,0.0
2026-02-23T07:56:34.933021,70.088,70.088,70.088,0.0
2026-02-23T07:56:35.006506,70.112,70.112,70.112,0.0
2026-02-23T07:56:35.079720,70.068,70.068,70.068,0.0
2026-02-23T07:56:35.153272,70.101,70.101,70.101,0.0
2026-02-23T07:56:35.226673,70.109,70.109,70.109,0.0
2026-02-23T07:56:35.300295,70.459,70.459,70.459,0.0
2026-02-23T07:56:35.373117,70.058,70.058,70.058,0.0
2026-02-23T07:56:35.446399,70.088,70.088,70.088,0.0
2026-02-23T07:56:35.519855,70.147,70.147,70.147,0.0
2026-02-23T07:56:35.592243,70.104,70.104,70.104,0.0
2026-02-23T07:56:35.665679,70.094,70.094,70.094,0.0
2026-02-23T07:56:35.738716,70.084,70.084,70.084,0.0
2026-02-23T07:56:35.812298,70.119,70.119,70.119,0.0
2026-02-23T07:56:35.885753,70.124,70.124,70.124,0.0
2026-02-23T07:56:35.958923,70.085,70.085,70.085,0.0
2026-02-23T07:56:36.032402,70.11,70.11,70.11,0.0
2026-02-23T07:56:36.105013,70.077,70.077,70.077,0.0
2026-02-23T07:56:36.178725,70.178,70.178,70.178,0.0
2026-02-23T07:56:36.251586,70.092,70.092,70.092,0.0
2026-02-23T07:56:36.325261,70.075,70.075,70.075,0.0
2026-02-23T07:56:36.398825,70.089,70.089,70.089,0.0
2026-02-23T07:56:36.472269,70.119,70.119,70.119,0.0
2026-02-23T07:56:36.545928,70.151,70.151,70.151,0.0
2026-02-23T07:56:36.619273,70.104,70.104,70.104,0.0
2026-02-23T07:56:36.692835,70.086,70.086,70.086,0.0
2026-02-23T07:56:36.766087,70.078,70.078,70.078,0.0
2026-02-23T07:56:36.838974,70.063,70.063,70.063,0.0
2026-02-23T07:56:36.912196,70.092,70.092,70.092,0.0
2026-02-23T07:56:36.986216,70.855,70.855,70.855,0.0
2026-02-23T07:56:37.059535,70.12,70.12,70.12,0.0
2026-02-23T07:56:37.132957,70.077,70.077,70.077,0.0
2026-02-23T07:56:37.206366,70.07,70.07,70.07,0.0
2026-02-23T07:56:37.279554,70.089,70.089,70.089,0.0
2026-02-23T07:56:37.352979,70.069,70.069,70.069,0.0
2026-02-23T07:56:37.426096,70.133,70.133,70.133,0.0
2026-02-23T07:56:47.428861,,,,100.0
2026-02-23T07:56:47.502286,70.104,70.104,70.104,0.0
2026-02-23T07:56:47.575190,70.091,70.091,70.091,0.0
2026-02-23T07:56:47.648480,70.125,70.125,70.125,0.0
2026-02-23T07:56:47.722142,70.087,70.087,70.087,0.0
2026-02-23T07:56:57.725756,,,,100.0
2026-02-23T07:56:57.799984,70.104,70.104,70.104,0.0
2026-02-23T07:56:57.873673,70.089,70.089,70.089,0.0
2026-02-23T07:56:57.947298,70.098,70.098,70.098,0.0
2026-02-23T07:56:58.020911,70.133,70.133,70.133,0.0
2026-02-23T07:56:58.094190,70.339,70.339,70.339,0.0
2026-02-23T07:56:58.167457,70.119,70.119,70.119,0.0
2026-02-23T07:56:58.240418,70.088,70.088,70.088,0.0
2026-02-23T07:56:58.313756,70.124,70.124,70.124,0.0
2026-02-23T07:56:58.386591,70.089,70.089,70.089,0.0
2026-02-23T07:56:58.460215,71.046,71.046,71.046,0.0
2026-02-23T07:56:58.533600,70.134,70.134,70.134,0.0
2026-02-23T07:56:58.607044,70.108,70.108,70.108,0.0
2026-02-23T07:56:58.680631,70.082,70.082,70.082,0.0
2026-02-23T07:56:58.753844,70.123,70.123,70.123,0.0
2026-02-23T07:56:58.827459,70.161,70.161,70.161,0.0
2026-02-23T07:56:58.900405,70.135,70.135,70.135,0.0
2026-02-23T07:56:58.972971,70.097,70.097,70.097,0.0
2026-02-23T07:56:59.046726,70.161,70.161,70.161,0.0
2026-02-23T07:56:59.120554,70.107,70.107,70.107,0.0
2026-02-23T07:56:59.193822,70.168,70.168,70.168,0.0
2026-02-23T07:56:59.267188,70.134,70.134,70.134,0.0
2026-02-23T07:56:59.340994,70.187,70.187,70.187,0.0
2026-02-23T07:56:59.414305,70.171,70.171,70.171,0.0
2026-02-23T07:56:59.486947,70.163,70.163,70.163,0.0
2026-02-23T07:56:59.560279,70.107,70.107,70.107,0.0
2026-02-23T07:56:59.633575,70.147,70.147,70.147,0.0
2026-02-23T07:56:59.706907,70.091,70.091,70.091,0.0
2026-02-23T07:56:59.779693,70.126,70.126,70.126,0.0
2026-02-23T07:56:59.853308,70.138,70.138,70.138,0.0
2026-02-23T07:56:59.926800,70.198,70.198,70.198,0.0
2026-02-23T07:56:59.999887,70.109,70.109,70.109,0.0
2026-02-23T07:57:00.072883,70.153,70.153,70.153,0.0
2026-02-23T07:57:00.146311,70.104,70.104,70.104,0.0
2026-02-23T07:57:00.219608,70.111,70.111,70.111,0.0
2026-02-23T07:57:00.292743,70.11,70.11,70.11,0.0
2026-02-23T07:57:00.366011,70.178,70.178,70.178,0.0
2026-02-23T07:57:00.439809,70.169,70.169,70.169,0.0
2026-02-23T07:57:00.513445,70.113,70.113,70.113,0.0
2026-02-23T07:57:00.586195,70.08,70.08,70.08,0.0
2026-02-23T07:57:00.659790,70.057,70.057,70.057,0.0
2026-02-23T07:57:00.732869,70.064,70.064,70.064,0.0
2026-02-23T07:57:00.806271,70.074,70.074,70.074,0.0
2026-02-23T07:57:00.879203,70.065,70.065,70.065,0.0
2026-02-23T07:57:00.952280,70.104,70.104,70.104,0.0
2026-02-23T07:57:01.025259,70.086,70.086,70.086,0.0
2026-02-23T07:57:01.098844,70.059,70.059,70.059,0.0
2026-02-23T07:57:01.171937,70.061,70.061,70.061,0.0
2026-02-23T07:57:01.245154,70.068,70.068,70.068,0.0
2026-02-23T07:57:01.318572,70.067,70.067,70.067,0.0
2026-02-23T07:57:01.391097,70.065,70.065,70.065,0.0
2026-02-23T07:57:01.463814,70.08,70.08,70.08,0.0
2026-02-23T07:57:01.537460,70.067,70.067,70.067,0.0
2026-02-23T07:57:01.611025,70.058,70.058,70.058,0.0
2026-02-23T07:57:11.614939,,,,100.0
2026-02-23T07:57:11.689082,70.095,70.095,70.095,0.0
2026-02-23T07:57:11.762955,70.211,70.211,70.211,0.0
2026-02-23T07:57:11.836866,70.11,70.11,70.11,0.0
2026-02-23T07:57:21.840509,,,,100.0
2026-02-23T07:57:21.914558,70.139,70.139,70.139,0.0
2026-02-23T07:57:21.988826,70.111,70.111,70.111,0.0
2026-02-23T07:57:22.061960,70.052,70.052,70.052,0.0
2026-02-23T07:57:22.134932,70.057,70.057,70.057,0.0
2026-02-23T07:57:22.207979,70.092,70.092,70.092,0.0
2026-02-23T07:57:22.280924,70.055,70.055,70.055,0.0
2026-02-23T07:57:22.353913,70.041,70.041,70.041,0.0
2026-02-23T07:57:22.426725,70.071,70.071,70.071,0.0
2026-02-23T07:57:22.499661,70.079,70.079,70.079,0.0
2026-02-23T07:57:22.573043,70.059,70.059,70.059,0.0
2026-02-23T07:57:22.646212,70.085,70.085,70.085,0.0
2026-02-23T07:57:22.719559,70.116,70.116,70.116,0.0
2026-02-23T07:57:22.795873,72.795,72.795,72.795,0.0
2026-02-23T07:57:22.868939,70.066,70.066,70.066,0.0
2026-02-23T07:57:22.942239,70.058,70.058,70.058,0.0
2026-02-23T07:57:23.015426,70.103,70.103,70.103,0.0
2026-02-23T07:57:33.018592,,,,100.0
2026-02-23T07:57:43.022209,,,,100.0
2026-02-23T07:57:43.096285,70.131,70.131,70.131,0.0
2026-02-23T07:57:43.169845,70.08,70.08,70.08,0.0
